Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
384,Kelly Olynyk,C,32,TOT,74,23,1643,7.5,13.7,.550,1.7,4.3,.384,5.9,9.4,.627,4.0,4.9,.829,3.0,8.2,11.2,9.8,2.1,0.9,4.2,6.4,20.8,,125,119
385,Eugene Omoruyi,SF,26,WAS,39,0,325,9.3,19.6,.478,0.9,5.0,.176,8.5,14.6,.580,4.2,6.4,.659,4.5,7.2,11.7,4.1,3.5,0.6,2.6,8.3,23.8,,109,116
386,Cedi Osman,SF,28,SAS,72,3,1269,7.0,14.5,.479,3.3,8.4,.389,3.7,6.2,.601,1.3,2.0,.673,0.9,5.9,6.8,4.5,1.4,0.4,1.8,4.0,18.5,,116,120
387,Kelly Oubre Jr.,SF,28,PHI,64,48,1924,9.3,21.1,.441,2.5,7.9,.314,6.9,13.3,.517,4.2,5.6,.753,2.3,5.9,8.2,2.4,1.9,1.1,2.1,4.8,25.3,,110,116
388,Chris Paul,PG,38,GSW,53,15,1388,6.6,14.9,.444,2.6,6.7,.383,4.1,8.2,.494,1.5,1.9,.827,0.6,6.7,7.4,12.8,2.2,0.1,2.4,3.4,17.3,,127,117
389,Cameron Payne,PG,29,TOT,74,8,1228,8.0,18.4,.436,4.0,10.1,.393,4.0,8.3,.488,2.3,2.7,.866,0.8,3.6,4.4,7.7,1.5,0.4,2.5,4.9,22.3,,117,120
390,Gary Payton II,SG,31,GSW,42,0,650,7.5,13.3,.560,1.4,4.0,.346,6.1,9.4,.650,1.0,1.6,.619,3.5,4.8,8.3,3.4,3.0,1.3,2.0,5.5,17.3,,124,115
391,Mãozinha Pereira,SF,23,MEM,7,1,122,7.3,14.2,.514,2.0,5.3,.385,5.3,8.9,.591,2.8,4.1,.700,4.5,10.6,15.1,0.8,2.4,1.6,2.0,4.1,19.5,,117,111
392,Drew Peterson,PF,24,BOS,1,0,3,16.6,16.6,1.000,16.6,16.6,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,16.6,0.0,0.0,0.0,16.6,49.7,,282,121
393,Filip Petrušev,C,23,TOT,3,0,10,4.9,9.8,.500,0.0,0.0,,4.9,9.8,.500,4.9,9.8,.500,0.0,4.9,4.9,0.0,0.0,0.0,0.0,4.9,14.8,,109,122
394,Julian Phillips,SF,20,CHI,40,0,323,5.0,12.0,.416,1.9,5.9,.316,3.1,6.1,.513,2.0,3.0,.684,1.9,3.7,5.6,2.0,1.1,1.1,1.6,6.2,13.9,,107,120
395,Jalen Pickett,SG,24,DEN,25,0,120,6.3,14.8,.429,3.8,10.5,.360,2.5,4.2,.600,1.3,1.7,.750,0.4,5.5,5.9,8.4,1.7,0.0,3.8,5.5,17.7,,109,117
396,Scotty Pippen Jr.,PG,23,MEM,17,12,404,8.6,17.2,.500,3.1,6.5,.472,5.5,10.7,.517,3.8,5.3,.721,1.8,4.1,5.9,9.1,3.2,1.1,5.3,5.7,24.1,,112,114
397,Mason Plumlee,C,33,LAC,41,9,576,6.6,10.9,.608,0.0,0.2,.000,6.6,10.7,.618,5.2,7.6,.690,4.5,12.9,17.4,3.7,1.0,1.3,2.4,5.1,18.5,,130,114
398,Brandin Podziemski,SG,20,GSW,69,27,1839,6.7,15.1,.447,2.2,5.9,.377,4.5,9.2,.493,1.3,2.0,.618,3.0,7.7,10.7,6.9,1.6,0.3,2.3,3.3,17.0,,118,118
399,Jakob Poeltl,C,28,TOR,50,50,1319,9.2,14.1,.656,0.0,0.0,,9.2,14.1,.656,2.2,4.0,.551,5.4,10.5,15.9,4.7,1.3,2.8,2.9,5.5,20.6,,125,116
400,Aleksej Pokusevski,PF,22,TOT,23,0,309,5.3,13.9,.379,1.8,6.6,.268,3.5,7.4,.478,4.0,5.3,.758,2.4,7.2,9.6,4.6,2.1,1.4,2.2,2.6,16.3,,107,117
401,Jordan Poole,SG,24,WAS,76,64,2273,9.8,23.8,.413,3.7,11.3,.323,6.2,12.5,.493,3.9,4.4,.873,0.6,3.7,4.3,6.8,1.7,0.5,3.8,5.0,27.2,,102,123
402,Craig Porter Jr.,PG,23,CLE,49,5,638,9.1,17.8,.509,0.9,2.7,.353,8.1,15.1,.536,3.2,4.4,.732,1.7,6.7,8.4,9.1,1.6,1.1,3.5,3.1,22.3,,114,115
403,Jontay Porter,PF,24,TOR,26,5,360,5.4,14.2,.385,2.7,8.2,.333,2.7,6.0,.455,2.0,2.5,.833,3.5,7.6,11.2,8.2,2.7,2.7,2.9,4.8,15.7,,113,115
404,Michael Porter Jr.,SF,25,DEN,77,77,2445,10.4,21.2,.487,4.4,11.0,.402,5.9,10.3,.579,1.8,2.2,.829,2.1,9.2,11.3,2.4,0.8,1.0,1.8,3.0,26.9,,119,116
405,Otto Porter Jr.,SF,30,TOR,15,1,174,3.9,9.3,.424,2.3,6.5,.348,1.7,2.8,.600,0.8,0.8,1.000,1.7,6.5,8.2,2.3,1.4,1.4,0.6,5.4,11.0,,123,120
406,Bobby Portis,PF,28,MIL,77,1,1874,11.1,22.2,.499,2.3,6.0,.388,8.7,16.2,.540,2.5,3.2,.787,3.4,11.2,14.6,2.4,1.6,0.8,2.1,4.6,26.9,,115,115
407,Kristaps Porziņģis,C,28,BOS,55,55,1637,11.5,22.3,.518,3.2,8.7,.375,8.3,13.6,.609,7.7,8.9,.863,2.9,9.0,11.9,3.4,1.2,3.2,2.6,4.6,34.0,,129,109
408,Micah Potter,PF,25,UTA,13,0,136,4.3,8.2,.522,2.5,5.0,.500,1.8,3.2,.556,1.8,1.8,1.000,1.8,8.6,10.4,0.7,1.1,1.1,1.4,2.5,12.9,,130,121
409,Dwight Powell,C,32,DAL,61,8,788,4.2,6.2,.683,0.1,0.1,.500,4.2,6.1,.687,3.9,5.5,.708,5.4,6.6,12.1,4.9,1.5,1.2,1.8,6.6,12.4,,148,116
410,Norman Powell,SG,30,LAC,73,2,1914,9.5,19.3,.492,4.2,9.7,.438,5.3,9.7,.546,3.8,4.5,.831,0.4,4.5,4.9,2.1,1.1,0.6,1.7,3.4,27.0,,122,121
411,Jason Preston,PG,24,UTA,5,0,47,5.2,12.4,.417,0.0,1.0,.000,5.2,11.4,.455,0.0,0.0,,4.1,7.3,11.4,13.5,2.1,0.0,2.1,2.1,10.4,,121,121
412,Joshua Primo,SG,21,LAC,2,0,10,5.0,15.1,.333,0.0,5.0,.000,5.0,10.0,.500,0.0,0.0,,5.0,0.0,5.0,0.0,0.0,5.0,20.1,0.0,10.0,,37,121
413,Taurean Prince,PF,29,LAL,74,49,2020,5.8,13.1,.446,3.3,8.2,.398,2.6,4.9,.527,1.1,1.5,.719,0.5,4.8,5.3,2.8,1.3,0.8,1.6,3.4,16.0,,110,119
414,Payton Pritchard,PG,26,BOS,77,3,1681,7.4,16.5,.449,4.0,10.4,.381,3.4,6.1,.566,1.2,1.5,.808,2.0,5.2,7.2,7.1,1.1,0.2,1.6,3.0,20.0,,128,116
