PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
Jeff Dowtin Jr.,PHI,11,6,5,12.2,4.5,23.7,9.8,1.7,4.37,4.27,0.192,0.3,0.0,0.4,0.667,0.000,2.000
Jeff Green,HOU,78,39,39,16.8,6.5,18.6,12.5,0.6,1.91,0.87,0.351,0.9,0.5,1.3,0.554,0.632,0.990
Jerami Grant,POR,54,17,37,33.9,21.0,52.5,34.6,2.6,2.92,1.96,0.400,1.4,1.9,1.6,0.600,0.441,0.930
Jeremiah Robinson-Earl,NOP,38,22,16,8.6,3.0,12.1,6.8,0.3,1.44,0.60,0.250,0.4,0.1,1.1,0.250,0.000,0.884
Jeremy Sochan,SAS,73,17,56,29.7,11.5,50.9,25.0,2.6,3.06,2.42,0.226,1.6,0.8,4.1,0.711,0.237,0.782
Jericho Sims,NYK,45,30,15,13.0,2.0,15.4,8.0,0.4,1.56,0.55,0.133,0.8,0.0,2.3,0.029,1.000,0.606
Jermaine Samuels Jr.,HOU,14,8,6,4.3,1.4,4.7,2.1,0.1,1.76,0.91,0.303,0.3,0.0,0.3,0.000,0.000,1.000
Jerome Robinson,GSW,21,17,4,3.8,1.5,7.2,4.4,0.3,2.17,1.68,0.205,0.0,0.0,0.2,2.000,0.000,0.800
Jett Howard,ORL,18,9,9,3.7,1.6,5.1,3.2,0.3,3.07,2.82,0.319,0.0,0.0,0.2,0.000,0.000,0.667
Jevon Carter,CHI,71,35,36,14.0,5.0,21.9,12.2,1.0,2.68,2.19,0.230,0.1,0.0,0.1,0.800,0.000,0.222
Jimmy Butler,MIA,60,33,27,34.0,20.8,61.0,36.8,4.5,4.41,3.24,0.341,1.4,2.3,5.7,0.583,0.385,0.802
