PLAYER	,TEAM	,GP,W,L,MIN	,PTS	,TOUCHES	,FRONT CT TOUCHES	,TIME OF POSS	,AVG SEC PER TOUCH	,AVG DRIB PER TOUCH	,PTS PER TOUCH	,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH	,PTS PER POST TOUCH	,PTS PER PAINT TOUCH
AJ Green,MIL,56,35,21,11.0,4.5,12.4,7.7,0.4,1.92,1.15,0.364,0.1,0.0,0.2,0.400,0.000,0.615
AJ Griffin,ATL,20,8,12,8.5,2.4,8.5,5.4,0.3,1.99,1.50,0.284,0.1,0.0,0.2,0.000,0.000,0.500
Aaron Gordon,DEN,71,47,24,31.6,13.9,42.3,23.3,2.2,3.16,2.41,0.329,2.0,1.5,6.8,0.352,0.627,1.008
Aaron Holiday,HOU,78,39,39,16.3,6.6,25.9,10.3,1.8,4.14,4.00,0.254,0.1,0.0,0.1,0.400,0.000,0.727
Aaron Nesmith,IND,72,41,31,27.7,12.2,39.3,22.6,1.1,1.61,0.93,0.310,0.3,0.0,1.0,0.889,0.000,0.813
Aaron Wiggins,OKC,78,55,23,15.7,6.9,19.8,10.9,0.7,2.26,1.68,0.351,0.3,0.0,2.0,0.769,2.000,0.918
Adam Flagler,OKC,2,2,0,7.0,1.5,9.5,5.5,0.6,4.08,4.00,0.158,0.0,0.0,0.0,0.000,0.000,0.000
Adama Sanogo,CHI,9,3,6,7.3,4.0,9.8,5.8,0.2,1.44,0.50,0.409,0.8,0.3,3.7,0.857,1.000,0.939
Admiral Schofield,ORL,23,15,8,3.7,1.1,7.0,3.7,0.2,1.93,0.86,0.163,0.2,0.0,0.3,0.500,0.000,0.333
Al Horford,BOS,64,50,14,26.7,8.6,33.2,18.6,0.8,1.44,0.44,0.260,1.0,0.7,2.7,0.286,0.773,0.799
Alec Burks,NYK,66,18,48,18.4,10.4,30.0,18.2,1.4,2.80,2.21,0.348,0.2,0.0,0.3,0.692,0.667,1.136
Aleksej Pokusevski,CHA,27,13,14,14.7,5.1,22.8,13.1,0.8,2.20,1.18,0.226,0.8,0.1,0.9,0.455,1.000,1.208
Alex Caruso,CHI,70,34,36,28.6,10.1,52.7,23.3,2.3,2.60,1.89,0.191,0.5,0.0,1.1,0.361,0.500,0.658
Alex Fudge,DAL,6,1,5,6.7,2.5,6.7,4.3,0.2,1.77,1.15,0.375,0.0,0.0,0.5,0.000,0.000,1.333
Alex Len,SAC,48,24,24,9.3,2.5,14.4,9.3,0.3,1.36,0.38,0.173,1.6,0.1,2.6,0.355,0.000,0.752
Alondes Williams,MIA,7,5,2,2.2,0.7,5.4,2.1,0.5,5.19,4.45,0.132,0.0,0.0,0.0,0.000,0.000,0.000
Alperen Sengun,HOU,63,29,34,32.5,21.1,61.4,45.2,2.4,2.32,1.13,0.344,6.7,3.8,6.3,0.702,0.571,0.844
Amari Bailey,CHA,10,1,9,6.5,2.3,7.6,4.4,0.4,3.17,2.92,0.303,0.0,0.0,0.4,0.000,0.000,1.000
Amen Thompson,HOU,62,30,32,22.4,9.5,40.3,16.7,2.3,3.41,2.66,0.237,1.0,0.1,4.5,0.619,0.500,0.841
Amir Coffey,LAC,69,45,24,20.9,6.7,20.3,12.0,0.8,2.25,1.36,0.330,0.2,0.0,0.3,0.786,0.000,0.850
Andre Drummond,CHI,78,37,41,17.2,8.5,21.0,12.8,0.5,1.45,0.48,0.403,2.0,1.6,7.1,0.510,0.787,0.942
Andre Jackson Jr.,MIL,57,33,24,10.0,2.2,11.6,5.2,0.4,2.02,1.42,0.188,0.3,0.0,1.2,0.375,0.000,0.507
Andrew Funk,CHI,5,3,2,2.7,0.0,2.8,1.6,0.1,1.15,0.50,0.000,0.0,0.0,0.0,0.000,0.000,0.000
Andrew Nembhard,IND,68,41,27,25.0,9.2,46.5,22.6,2.8,3.61,3.34,0.198,0.4,0.1,0.6,0.444,0.400,0.805
Andrew Wiggins,GSW,70,38,32,27.1,13.3,36.9,22.5,1.7,2.82,2.01,0.359,0.8,1.7,2.8,0.745,0.448,0.842
Anfernee Simons,POR,45,10,35,34.2,22.6,73.3,31.0,6.3,5.14,4.82,0.308,0.3,0.0,0.3,0.267,0.000,0.714
Anthony Black,ORL,69,39,30,16.9,4.6,26.4,12.4,1.5,3.39,2.64,0.174,0.3,0.0,1.1,0.889,0.000,0.920
Anthony Davis,LAL,75,44,31,35.6,24.8,73.4,41.4,2.8,2.26,1.01,0.338,4.9,4.3,8.9,0.686,0.661,1.216
Anthony Edwards,MIN,79,54,25,35.1,25.9,70.1,37.8,5.0,4.27,3.87,0.370,0.6,1.0,1.1,0.771,0.436,0.782
Anthony Gill,WAS,50,9,41,9.3,3.8,11.9,7.4,0.4,1.83,0.89,0.318,0.6,0.1,1.5,0.897,0.333,0.947
Armoni Brooks,BKN,10,3,7,10.4,4.2,15.3,10.9,0.5,1.96,1.24,0.275,0.0,0.0,0.6,0.000,0.000,0.333
Ashton Hagans,POR,19,3,16,16.6,4.2,38.1,17.6,2.5,3.96,3.33,0.111,0.1,0.0,0.6,0.000,0.000,0.500
Ausar Thompson,DET,62,10,52,25.3,8.9,30.9,17.1,1.2,2.30,1.72,0.288,0.8,0.0,3.5,0.615,0.000,0.839
Austin Reaves,LAL,81,46,35,32.2,15.8,61.4,25.4,4.3,4.23,3.89,0.258,0.6,0.0,0.9,0.580,0.000,0.797
Ayo Dosunmu,CHI,75,37,38,29.0,12.1,46.6,23.7,2.4,3.13,2.78,0.261,0.3,0.0,0.6,0.632,0.000,0.511
Bam Adebayo,MIA,71,40,31,34.0,19.3,63.0,36.8,3.1,2.96,1.71,0.306,5.4,4.0,6.7,0.595,0.616,0.874
Ben Sheppard,IND,57,32,25,14.3,4.4,20.8,12.4,0.5,1.56,0.90,0.212,0.4,0.0,0.5,0.818,0.000,0.885
Ben Simmons,BKN,15,7,8,23.9,6.1,58.7,18.0,3.5,3.55,2.73,0.104,1.4,0.7,3.5,0.524,0.400,0.925
Bennedict Mathurin,IND,59,33,26,26.1,14.5,41.9,27.1,1.7,2.40,1.60,0.346,1.1,0.1,1.8,0.714,0.857,0.917
Bilal Coulibaly,WAS,63,11,52,27.2,8.4,32.9,19.1,1.2,2.11,1.33,0.257,0.5,0.0,1.8,0.806,0.000,0.856
Bismack Biyombo,OKC,40,20,20,19.8,4.4,27.1,14.5,0.7,1.60,0.39,0.160,1.7,0.1,4.4,0.377,1.200,0.783
Blake Wesley,SAS,60,18,42,14.3,4.4,27.8,10.9,2.0,4.29,3.99,0.158,0.4,0.0,0.8,0.636,0.000,0.813
Boban Marjanovic,HOU,14,9,5,5.1,3.2,8.3,4.6,0.3,1.90,0.62,0.388,0.6,1.1,1.6,1.125,0.813,1.348
Bobby Portis,MIL,82,49,33,24.5,13.8,41.8,21.6,1.3,1.80,0.84,0.330,0.9,2.6,3.5,0.681,0.705,1.000
Bogdan Bogdanovic,ATL,79,35,44,30.4,16.9,47.6,29.1,1.8,2.32,1.66,0.355,0.6,0.1,0.9,0.711,0.500,0.778
Bojan Bogdanovic,NYK,57,20,37,25.9,15.2,33.5,25.7,1.5,2.64,1.85,0.454,0.5,0.5,0.5,0.679,0.429,1.071
Bol Bol,PHX,42,28,14,10.9,5.0,12.6,7.1,0.3,1.65,0.72,0.397,0.5,0.1,1.0,1.050,0.500,1.068
Bones Hyland,LAC,36,19,17,14.6,6.8,31.7,12.9,2.6,4.83,4.31,0.215,0.3,0.1,0.3,0.222,0.667,0.545
Bradley Beal,PHX,52,33,19,33.3,18.1,66.3,29.4,4.7,4.22,3.79,0.272,0.6,0.1,1.2,0.806,0.800,0.672
Brandin Podziemski,GSW,73,41,32,26.5,9.2,46.2,23.2,2.4,3.10,2.50,0.200,0.7,0.1,2.2,0.620,0.000,0.491
Brandon Boston Jr.,LAC,32,17,15,10.8,5.2,16.5,9.7,0.8,2.83,2.63,0.317,0.2,0.0,0.7,1.143,0.000,0.913
Brandon Clarke,MEM,6,2,4,22.4,11.3,32.2,23.3,0.9,1.65,1.05,0.352,4.2,0.2,5.2,0.880,0.000,0.968
Brandon Ingram,NOP,63,38,25,32.9,21.0,64.6,37.5,4.3,4.01,3.17,0.325,2.0,1.0,1.0,0.691,0.516,0.677
Brandon Miller,CHA,73,17,56,32.1,17.2,54.4,32.1,2.8,3.13,2.28,0.316,0.5,0.1,1.3,0.714,0.000,0.851
Brandon Williams,DAL,17,10,7,6.6,3.2,13.6,5.4,1.1,4.81,4.76,0.234,0.1,0.0,0.2,1.000,0.000,1.333
Braxton Key,DEN,20,14,6,3.0,1.1,5.9,2.7,0.2,2.15,1.37,0.186,0.1,0.1,0.2,0.000,0.000,1.000
Brice Sensabaugh,UTA,31,8,23,17.8,7.3,23.9,13.9,1.2,3.06,2.35,0.304,0.3,0.0,0.4,0.444,0.000,0.250
Brook Lopez,MIL,79,48,31,30.5,12.5,31.3,21.6,0.8,1.50,0.45,0.401,1.7,0.8,3.7,0.761,0.833,0.993
Bruce Brown,TOR,67,26,41,27.8,10.8,43.2,22.1,2.1,2.89,2.35,0.251,1.0,0.1,1.9,0.641,0.333,1.048
Bruno Fernando,ATL,45,20,25,15.2,6.3,19.8,14.5,0.5,1.45,0.51,0.317,2.5,0.5,4.4,0.570,0.870,0.945
Bryce McGowens,CHA,59,11,48,14.9,5.1,16.7,11.2,0.7,2.37,1.41,0.306,0.2,0.0,0.5,0.667,0.000,0.935
Buddy Boeheim,DET,10,0,10,8.4,3.4,8.0,6.0,0.2,1.58,0.64,0.425,0.1,0.0,0.1,0.000,0.000,0.000
Buddy Hield,PHI,83,45,38,25.8,12.0,49.7,28.5,1.5,1.84,1.23,0.241,0.5,0.0,0.9,0.725,0.000,0.707
CJ McCollum,NOP,65,42,23,32.8,20.2,67.0,30.0,4.4,3.95,3.56,0.301,0.6,0.0,0.6,0.194,0.000,0.514
Cade Cunningham,DET,61,9,52,33.5,22.5,80.1,29.9,7.0,5.27,4.94,0.281,0.5,0.7,0.7,0.375,0.578,0.525
Caleb Houstan,ORL,59,31,28,13.8,4.3,11.7,8.3,0.2,1.16,0.29,0.366,0.1,0.0,0.4,0.000,0.000,0.545
Caleb Martin,MIA,64,36,28,27.4,10.0,39.0,19.6,2.1,3.26,2.49,0.256,0.6,0.0,1.4,0.500,0.000,0.659
Cam Reddish,LAL,47,26,21,20.4,5.3,16.9,10.0,0.6,1.98,1.29,0.316,0.3,0.0,0.8,0.667,0.000,0.718
Cam Thomas,BKN,63,23,40,31.5,22.4,54.5,30.9,3.7,4.03,3.56,0.410,0.6,0.0,0.5,0.667,0.000,0.867
Cam Whitmore,HOU,47,19,28,18.7,12.3,24.6,13.2,1.2,2.81,2.34,0.500,0.6,0.0,1.8,0.962,0.000,0.892
Cameron Johnson,BKN,57,21,36,27.6,13.3,38.5,25.5,1.6,2.48,1.98,0.346,0.4,0.0,1.1,0.636,0.000,0.603
Cameron Payne,PHI,77,45,32,16.6,7.4,36.2,14.1,2.7,4.49,3.90,0.204,0.1,0.0,0.2,0.400,0.000,0.500
Caris LeVert,CLE,68,38,30,28.8,14.0,53.2,30.8,3.5,3.91,3.52,0.263,0.5,0.0,1.0,0.595,0.000,0.779
Cason Wallace,OKC,82,57,25,20.6,6.8,20.7,11.9,0.9,2.58,2.15,0.330,0.4,0.0,1.5,0.394,0.000,0.672
Cedi Osman,SAS,72,17,55,17.6,6.8,22.8,13.2,0.8,2.08,1.40,0.298,0.4,0.0,0.6,0.710,0.000,0.738
Charles Bassey,SAS,19,3,16,10.8,3.3,19.4,8.7,0.5,1.43,0.38,0.171,1.3,0.0,2.5,0.680,0.000,1.000
Charlie Brown Jr.,NYK,8,2,6,4.7,0.8,4.4,3.4,0.1,1.62,0.26,0.171,0.1,0.1,0.3,0.000,0.000,0.000
Chet Holmgren,OKC,82,57,25,29.4,16.5,55.4,29.2,1.9,2.03,1.04,0.299,2.0,0.5,4.4,0.635,0.395,1.050
Chimezie Metu,DET,51,24,27,16.8,6.5,21.9,12.0,0.7,1.81,0.88,0.297,0.5,0.2,1.6,0.696,1.091,0.976
Chris Boucher,TOR,49,16,33,13.7,6.2,16.0,9.1,0.4,1.67,0.57,0.391,0.4,0.1,2.7,0.818,0.600,1.053
Chris Duarte,SAC,59,35,24,12.2,3.9,16.3,10.6,0.5,1.99,1.26,0.240,0.2,0.0,0.6,0.556,0.000,0.529
Chris Livingston,MIL,21,13,8,4.3,1.2,5.6,2.4,0.2,2.14,1.34,0.222,0.1,0.0,0.3,1.000,0.000,0.857
Chris Paul,GSW,57,33,24,26.3,9.2,58.8,25.3,4.6,4.71,4.05,0.156,0.8,0.6,0.4,0.191,0.242,0.273
Christian Braun,DEN,80,55,25,20.3,7.3,28.9,15.4,1.3,2.65,1.84,0.253,0.8,0.0,1.8,0.667,0.000,0.589
Christian Wood,LAL,49,27,22,17.6,7.0,24.3,12.2,0.7,1.81,0.83,0.288,0.9,0.4,1.7,0.717,0.263,1.083
Chuma Okeke,ORL,47,24,23,9.2,2.3,12.1,6.6,0.5,2.44,1.52,0.189,0.1,0.0,0.5,0.571,0.000,0.727
Clint Capela,ATL,73,33,40,25.8,11.5,30.9,21.9,0.7,1.36,0.37,0.371,2.6,0.6,10.2,0.642,0.681,0.922
Coby White,CHI,78,37,41,36.4,19.1,73.3,30.8,4.8,3.90,3.48,0.261,0.1,0.0,0.2,0.571,0.000,0.444
Cody Martin,CHA,28,7,21,26.9,7.5,43.1,21.4,2.9,4.08,3.37,0.175,0.6,0.1,1.3,1.000,1.000,0.743
Cody Zeller,NOP,42,26,16,7.3,1.8,12.9,7.8,0.3,1.53,0.54,0.136,1.0,0.0,2.0,0.317,0.000,0.470
Colby Jones,SAC,30,15,15,6.4,2.1,11.4,6.2,0.6,3.16,2.66,0.187,0.2,0.0,0.6,0.333,0.000,0.471
Cole Anthony,ORL,81,47,34,22.4,11.6,45.9,19.0,3.4,4.50,3.92,0.252,0.4,0.0,0.9,0.742,0.000,0.685
Cole Swider,MIA,18,8,10,4.8,2.3,7.4,5.2,0.2,1.64,0.89,0.316,0.1,0.0,0.1,1.000,0.000,1.000
Colin Castleton,LAL,16,9,7,3.7,1.5,5.3,2.7,0.2,2.05,0.97,0.282,0.5,0.0,0.8,0.750,0.000,0.833
Collin Gillespie,DEN,24,15,9,9.4,3.6,20.3,9.2,1.3,3.97,3.57,0.179,0.3,0.0,0.2,0.333,0.000,0.400
Collin Sexton,UTA,77,29,48,26.5,18.7,52.1,26.5,3.9,4.44,4.14,0.360,0.7,0.0,1.5,0.824,0.000,0.933
Corey Kispert,WAS,80,15,65,25.8,13.4,35.5,22.7,1.1,1.85,1.17,0.377,0.5,0.0,0.9,0.833,0.000,1.000
Cory Joseph,GSW,26,10,16,11.4,2.4,22.6,9.5,1.5,3.86,3.81,0.107,0.2,0.0,0.3,0.000,0.000,1.000
Craig Porter Jr.,CLE,51,30,21,12.7,5.6,29.8,11.5,2.5,5.13,4.76,0.188,0.2,0.0,0.5,0.909,0.000,0.250
D'Angelo Russell,LAL,75,45,30,32.8,18.1,67.1,28.5,4.4,3.97,3.42,0.269,0.6,0.2,0.9,0.813,0.385,1.172
D'Moi Hodge,LAL,7,1,6,5.9,2.0,6.6,3.9,0.3,2.41,1.87,0.304,0.3,0.0,0.1,0.000,0.000,0.000
D.J. Carton,TOR,4,2,2,8.9,2.8,17.0,7.5,1.1,3.96,3.66,0.162,0.3,0.0,1.0,0.000,0.000,1.000
D.J. Wilson,PHI,2,1,1,7.7,5.0,10.0,6.0,0.3,1.75,0.55,0.500,0.0,0.0,2.0,0.000,0.000,1.000
DaQuan Jeffries,NYK,17,11,6,2.7,0.8,2.6,2.0,0.1,1.51,0.82,0.311,0.0,0.0,0.0,0.000,0.000,0.000
Daishen Nix,MIN,15,11,4,3.3,1.8,6.7,3.3,0.5,4.23,3.53,0.267,0.1,0.0,0.0,2.000,0.000,0.000
Dalano Banton,POR,53,23,30,19.0,10.0,40.2,18.0,2.7,4.04,3.35,0.250,0.3,0.0,1.2,0.556,0.000,1.154
Dalen Terry,CHI,58,27,31,11.7,3.1,18.3,8.4,0.8,2.65,2.38,0.169,0.2,0.0,0.6,0.600,0.000,0.412
Damian Jones,CLE,39,24,15,6.9,2.7,9.2,5.3,0.2,1.54,0.38,0.300,0.7,0.2,1.6,0.308,0.375,1.047
Damian Lillard,MIL,73,48,25,35.3,24.3,78.9,28.0,7.4,5.61,5.13,0.308,0.3,0.0,0.5,0.105,0.333,0.882
Daniel Gafford,DAL,73,29,44,24.5,10.9,37.3,20.0,0.9,1.39,0.28,0.292,2.3,0.4,7.0,0.876,0.968,1.128
Daniel Theis,LAC,59,37,22,16.8,6.3,22.3,11.7,0.5,1.47,0.36,0.282,1.7,0.1,3.5,0.592,0.500,0.859
Danilo Gallinari,MIL,49,15,34,12.8,5.7,21.6,13.0,0.8,2.17,0.77,0.264,0.7,0.8,1.3,0.576,0.538,0.968
Danny Green,PHI,2,1,1,9.2,0.0,8.0,2.5,0.2,1.71,0.19,0.000,0.0,0.0,0.5,0.000,0.000,0.000
Dante Exum,DAL,54,35,19,19.8,7.9,34.5,12.7,2.3,4.01,3.58,0.229,0.3,0.1,0.9,0.611,0.667,0.760
Danuel House Jr.,PHI,34,21,13,15.0,4.2,18.5,8.7,0.7,2.27,1.25,0.229,0.3,0.0,0.7,0.400,0.000,0.667
Dario Saric,GSW,63,35,28,17.4,8.1,35.7,21.9,1.1,1.80,0.91,0.228,1.5,1.6,2.8,0.385,0.394,0.608
Dariq Whitehead,BKN,2,1,1,12.0,1.5,15.0,6.5,0.5,2.06,1.80,0.100,0.5,0.0,0.0,2.000,0.000,0.000
Darius Bazley,UTA,9,2,7,16.9,5.3,23.8,11.2,0.8,1.92,1.02,0.224,0.7,0.1,1.7,1.333,0.000,1.133
Darius Garland,CLE,57,31,26,33.3,18.0,75.3,30.7,6.6,5.26,5.12,0.240,0.2,0.0,0.4,0.583,0.000,0.560
David Duke Jr.,SAS,4,3,1,12.8,6.5,19.3,10.5,0.8,2.48,1.86,0.338,0.3,0.0,1.3,0.000,0.000,1.600
David Roddy,PHX,64,25,39,18.3,6.6,26.4,14.8,1.1,2.42,1.65,0.250,0.6,0.1,1.1,0.757,0.750,0.706
Davion Mitchell,SAC,72,41,31,15.3,5.3,28.4,12.2,1.9,4.06,3.92,0.185,0.2,0.0,0.3,1.364,0.000,0.950
Davis Bertans,CHA,42,19,23,15.4,6.6,16.3,11.2,0.4,1.37,0.53,0.407,0.2,0.0,0.5,0.500,0.000,0.727
Day'Ron Sharpe,BKN,59,25,34,15.1,6.8,26.2,15.3,0.7,1.62,0.51,0.259,2.2,0.6,5.8,0.488,0.571,0.903
De'Aaron Fox,SAC,74,42,32,35.9,26.6,81.4,29.5,6.3,4.68,4.36,0.326,0.4,0.2,1.0,0.452,0.941,0.767
De'Andre Hunter,ATL,57,26,31,29.5,15.6,43.5,25.2,1.4,1.92,1.09,0.359,0.7,0.6,1.1,0.786,0.686,1.231
De'Anthony Melton,PHI,38,25,13,26.9,11.1,48.9,21.0,2.4,2.96,2.31,0.226,0.6,0.0,1.1,0.333,0.000,0.535
DeAndre Jordan,DEN,35,23,12,11.1,4.0,13.5,8.8,0.3,1.33,0.23,0.295,1.3,0.2,3.5,0.196,0.833,0.959
DeJon Jarreau,MEM,9,2,7,16.6,4.8,37.9,16.3,2.8,4.43,3.66,0.126,0.4,0.0,1.1,1.000,0.000,1.000
DeMar DeRozan,CHI,78,37,41,37.8,24.0,64.4,34.1,5.1,4.73,4.16,0.373,1.1,2.1,0.7,0.529,0.586,0.862
Dean Wade,CLE,54,36,18,20.5,5.4,26.2,14.0,0.6,1.41,0.43,0.205,0.2,0.0,0.7,0.692,0.000,0.625
Deandre Ayton,POR,54,13,41,32.3,16.5,54.5,30.1,1.6,1.76,0.67,0.303,5.9,2.5,9.2,0.649,0.603,0.988
Dejounte Murray,ATL,78,34,44,35.7,22.5,81.3,32.1,6.4,4.76,4.39,0.276,0.4,0.0,1.0,0.636,0.667,0.580
Delon Wright,MIA,47,16,31,15.8,4.5,28.4,11.6,2.2,4.56,4.17,0.157,0.1,0.0,0.4,0.333,0.000,0.900
Deni Avdija,WAS,75,14,61,30.1,14.7,55.5,24.5,2.7,2.92,2.23,0.265,1.3,0.4,1.8,0.875,0.333,0.884
Dennis Schroder,BKN,79,30,49,31.0,14.1,75.1,30.2,5.9,4.75,4.31,0.187,0.3,0.1,0.4,0.273,0.000,0.353
Dennis Smith Jr.,BKN,54,19,35,19.0,6.6,38.4,14.9,2.6,4.04,3.75,0.171,0.3,0.0,1.1,0.588,0.000,0.726
Dereck Lively II,DAL,55,35,20,23.5,8.8,34.7,17.0,0.8,1.34,0.20,0.253,2.5,0.2,7.9,0.467,0.800,0.965
Dereon Seabron,NOP,6,3,3,9.2,2.3,14.5,5.8,0.8,3.29,2.96,0.161,0.2,0.0,0.2,0.000,0.000,2.000
Derrick Jones Jr.,DAL,75,46,29,23.5,8.6,26.1,14.1,0.7,1.68,0.93,0.329,0.5,0.0,1.9,0.564,0.000,0.893
Derrick Rose,MEM,24,6,18,16.6,8.0,34.3,12.3,2.9,5.14,5.00,0.232,0.3,0.0,0.5,0.000,0.000,0.333
Derrick White,BOS,72,57,15,32.6,15.2,62.0,22.1,4.3,4.17,3.92,0.246,0.5,0.0,1.2,0.737,0.667,0.718
Desmond Bane,MEM,42,14,28,34.4,23.7,77.2,37.9,5.1,3.93,3.08,0.307,0.6,0.0,0.9,0.407,0.000,0.763
Devin Booker,PHX,68,43,25,36.0,27.1,73.4,34.9,6.2,5.04,4.40,0.369,0.9,0.6,1.0,0.750,0.683,0.662
Devin Vassell,SAS,68,17,51,33.1,19.5,56.6,38.6,2.8,3.01,2.17,0.344,0.6,0.0,0.6,0.750,0.000,1.103
Devonte' Graham,SAS,22,7,15,13.7,4.8,27.1,13.3,1.7,3.83,3.16,0.178,0.1,0.0,0.1,0.000,0.000,0.000
Dexter Dennis,DAL,4,1,3,7.5,5.5,15.0,6.5,0.8,3.01,2.63,0.367,0.0,0.0,0.5,0.000,0.000,1.000
Dillon Brooks,HOU,72,36,36,30.9,12.7,33.5,21.0,1.3,2.33,1.56,0.380,0.7,0.8,1.3,0.796,0.621,1.052
Dmytro Skapintsev,NYK,2,0,2,1.1,0.0,2.0,1.5,0.0,1.08,0.00,0.000,0.0,0.5,0.5,0.000,0.000,0.000
Domantas Sabonis,SAC,82,46,36,35.7,19.4,91.5,54.3,3.7,2.45,1.54,0.212,8.2,3.4,9.8,0.571,0.440,0.824
Dominick Barlow,SAS,32,6,26,12.2,3.9,17.3,10.1,0.5,1.67,0.83,0.226,0.9,0.1,2.3,0.533,2.000,0.819
Donovan Mitchell,CLE,55,36,19,35.3,26.6,79.1,33.1,6.3,4.77,4.41,0.336,0.5,0.0,1.0,1.034,0.000,0.925
