Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
199,Ron Harper Jr.,PF,23,TOR,1,4,0.1,,,,0.0,0.0,0.0,28.5,0.0,0.0,,0.0,,0.0,0.0,0.0,.086,,-11.7,2.8,-8.9,0.0
200,Gary Harris,SG,29,ORL,50,1174,10.0,.600,.689,.161,2.3,6.4,4.3,9.6,1.8,1.0,8.8,12.3,,1.2,1.5,2.6,.108,,-1.9,1.0,-0.9,0.3
201,Joe Harris,SG,32,DET,16,170,4.7,.489,.769,.051,2.0,6.9,4.4,7.7,0.9,1.0,9.1,11.0,,0.0,0.0,0.0,.001,,-4.8,-1.1,-5.9,-0.2
202,Kevon Harris,SG,26,ORL,2,6,11.3,.667,.000,.000,0.0,40.5,20.0,33.0,0.0,0.0,25.0,29.2,,0.0,0.0,0.0,.035,,-15.5,-0.4,-15.9,0.0
203,Tobias Harris,PF,31,PHI,67,2272,16.3,.575,.272,.223,3.6,18.3,10.8,13.8,1.5,1.7,8.3,20.9,,2.8,2.5,5.3,.112,,0.9,-0.2,0.6,1.5
204,Shaquille Harrison,SG,30,MEM,3,6,15.9,.500,.000,.000,0.0,40.2,19.3,0.0,0.0,15.6,0.0,14.4,,0.0,0.0,0.0,.087,,-0.6,5.2,4.6,0.0
205,Josh Hart,SF,28,NYK,76,2511,11.5,.513,.391,.169,5.7,23.9,14.7,16.3,1.4,0.8,14.1,13.6,,1.5,3.3,4.8,.092,,-1.6,1.4,-0.2,1.2
206,Isaiah Hartenstein,C,25,NYK,71,1775,18.6,.668,.009,.432,15.2,24.2,19.7,13.1,2.4,4.1,17.2,11.8,,4.1,3.2,7.4,.199,,0.5,2.9,3.3,2.4
207,Sam Hauser,SF,26,BOS,74,1598,12.9,.639,.854,.034,3.0,14.3,8.9,5.7,1.1,1.3,5.8,14.7,,2.4,2.1,4.5,.136,,1.3,0.1,1.4,1.4
208,Jordan Hawkins,SG,21,NOP,66,1158,10.3,.536,.654,.176,2.9,11.5,7.3,8.2,0.8,0.6,7.4,19.9,,0.3,1.1,1.3,.056,,-1.2,-1.7,-2.9,-0.3
209,Jaxson Hayes,C,23,LAL,66,799,13.7,.709,.051,.475,9.9,17.6,14.0,5.3,1.7,2.8,16.6,12.5,,1.2,1.0,2.2,.130,,-3.1,0.8,-2.2,0.0
210,Killian Hayes,PG,22,DET,42,1008,10.5,.474,.261,.177,1.3,12.6,6.8,27.7,1.7,1.7,14.3,15.1,,0.0,0.7,0.6,.030,,-2.9,0.2,-2.7,-0.2
211,Gordon Hayward,SF,33,TOT,48,1178,12.6,.538,.223,.286,3.5,13.3,8.4,18.9,1.6,1.0,12.2,18.5,,0.4,0.8,1.3,.051,,-1.6,-0.6,-2.2,-0.1
212,Scoot Henderson,PG,19,POR,58,1615,9.3,.488,.326,.259,3.3,10.3,6.6,28.4,1.3,0.7,19.0,26.4,,-2.6,0.9,-1.7,-0.050,,-3.8,-2.3,-6.2,-1.7
213,Taylor Hendricks,PF,20,UTA,35,726,11.2,.568,.586,.119,6.4,18.8,12.6,4.1,1.4,3.2,9.4,14.1,,0.4,0.5,0.9,.061,,-1.8,-0.7,-2.5,-0.1
214,Tyler Herro,SG,24,MIA,37,1234,15.6,.548,.449,.125,1.7,17.5,9.5,22.4,1.2,0.2,9.9,28.2,,0.0,1.4,1.5,.057,,1.5,-0.7,0.8,0.9
215,Buddy Hield,SF-SG,31,TOT,80,2079,13.1,.576,.666,.064,3.1,11.1,7.0,14.5,1.6,1.7,10.5,19.1,,1.6,1.5,3.1,.070,,0.8,-0.6,0.2,1.2
216,Haywood Highsmith,PF,27,MIA,61,1236,11.5,.588,.580,.108,5.4,12.5,8.9,7.3,2.1,2.2,8.6,12.7,,1.0,1.8,2.8,.109,,-1.6,1.2,-0.4,0.5
217,Nate Hinton,SG,24,HOU,12,59,18.2,.640,.545,.227,9.3,19.0,14.1,14.8,1.7,3.1,11.0,19.7,,0.1,0.1,0.2,.189,,2.8,1.2,4.0,0.1
218,D'Moi Hodge,SG,25,LAL,7,41,6.2,.441,.800,.133,0.0,0.0,0.0,15.6,1.2,2.1,5.9,17.9,,0.0,0.0,0.0,-0.022,,-3.8,-2.6,-6.4,0.0
219,Aaron Holiday,PG,27,HOU,74,1201,11.5,.576,.524,.152,1.9,8.9,5.4,15.7,1.6,0.5,10.6,16.5,,1.1,1.2,2.3,.094,,-1.7,0.4,-1.4,0.2
220,Jrue Holiday,PG,33,BOS,66,2182,14.4,.598,.467,.109,4.2,13.6,9.1,19.6,1.3,2.0,14.8,16.3,,3.0,3.1,6.1,.135,,1.0,1.2,2.2,2.4
221,Justin Holiday,SG,34,DEN,54,801,9.7,.602,.682,.023,1.4,8.5,5.0,9.5,2.1,1.0,6.8,10.5,,0.8,0.8,1.6,.098,,-2.6,1.0,-1.5,0.1
222,Richaun Holmes,C-PF,30,TOT,40,555,14.5,.593,.020,.320,14.4,22.9,18.6,6.0,0.9,2.9,12.5,14.7,,0.8,0.5,1.3,.111,,-2.4,-0.9,-3.3,-0.2
223,Chet Holmgren,C,21,OKC,77,2296,20.1,.629,.367,.283,6.3,24.0,15.5,11.7,1.0,7.3,10.9,21.7,,4.0,3.9,7.9,.165,,1.7,1.4,3.1,3.0
224,Jalen Hood-Schifino,SG,20,LAL,21,109,-1.3,.316,.333,.444,2.3,11.3,7.0,9.1,1.3,1.6,14.3,25.1,,-0.6,0.1,-0.5,-0.226,,-12.4,-3.7,-16.1,-0.4
225,Al Horford,C,37,BOS,63,1703,15.0,.649,.612,.073,5.5,20.2,13.2,12.3,1.1,3.1,9.8,12.0,,3.3,2.8,6.1,.173,,1.7,2.0,3.7,2.4
226,Talen Horton-Tucker,PG,23,UTA,48,919,13.6,.502,.391,.247,2.5,11.4,7.0,26.1,2.3,1.6,11.1,23.8,,0.3,0.5,0.8,.042,,-0.8,-0.2,-1.0,0.2
227,Danuel House Jr.,SF,30,PHI,34,509,8.6,.575,.476,.438,3.6,9.7,6.6,7.2,1.5,0.9,13.2,12.3,,0.3,0.4,0.7,.061,,-3.4,-0.6,-4.0,-0.3
228,Caleb Houstan,SF,21,ORL,56,791,8.4,.589,.935,.120,4.2,8.3,6.2,4.8,0.8,0.4,7.1,12.6,,0.7,0.8,1.5,.091,,-1.3,-0.6,-1.9,0.0
229,Jett Howard,SF,20,ORL,14,52,6.7,.464,.783,.174,2.3,9.3,5.8,8.4,0.0,1.8,7.5,22.6,,-0.1,0.0,0.0,-0.017,,-2.2,-2.5,-4.7,0.0
230,Kevin Huerter,SG,25,SAC,64,1562,12.4,.564,.609,.084,2.8,14.3,8.4,14.4,1.4,1.3,8.4,17.4,,1.4,1.4,2.8,.085,,-0.5,-0.4,-0.9,0.4
231,Jay Huff,C,25,DEN,18,47,17.0,.724,.600,.133,2.6,22.5,12.8,5.9,1.1,3.6,5.9,15.8,,0.1,0.1,0.2,.185,,-0.3,0.6,0.2,0.0
232,De'Andre Hunter,SF,26,ATL,54,1583,13.0,.604,.465,.298,2.0,13.4,7.5,7.3,1.2,0.8,10.4,20.7,,1.6,0.5,2.1,.064,,-0.8,-1.5,-2.3,-0.1
233,Matthew Hurt,PF,23,MEM,8,113,8.4,.453,.588,.088,8.8,7.5,8.2,5.1,1.3,2.5,5.4,14.3,,0.0,0.1,0.1,.028,,-3.0,-0.7,-3.7,-0.1
234,Bones Hyland,PG,23,LAC,34,450,8.7,.471,.551,.092,1.1,8.5,5.0,23.4,2.2,0.6,16.1,23.9,,-0.7,0.4,-0.3,-0.031,,-4.0,-1.5,-5.5,-0.4
235,Joe Ingles,SF,36,ORL,63,1085,10.4,.600,.709,.146,2.0,12.4,7.1,22.6,1.8,0.3,20.7,11.5,,0.9,1.5,2.4,.107,,-1.8,1.2,-0.6,0.4
236,Brandon Ingram,SF,26,NOP,63,2079,18.2,.577,.237,.305,2.4,14.9,8.7,27.0,1.2,1.9,12.3,27.4,,2.4,2.5,4.9,.114,,1.5,-0.2,1.2,1.7
237,Kyrie Irving,SG,31,DAL,55,1911,21.6,.602,.369,.175,2.5,13.6,8.1,23.9,1.8,1.1,8.0,28.4,,4.2,1.9,6.0,.152,,4.6,0.1,4.7,3.3
238,Jonathan Isaac,PF,26,ORL,53,822,19.9,.624,.385,.304,9.5,24.5,16.9,4.7,2.3,7.3,7.8,17.0,,1.4,1.9,3.3,.195,,1.9,2.5,4.3,1.3
239,Jaden Ivey,SG,21,DET,73,2101,12.5,.536,.375,.314,4.5,9.6,7.0,20.0,1.2,1.6,14.4,24.9,,-0.5,1.0,0.5,.010,,-1.4,-1.7,-3.1,-0.6
240,Andre Jackson Jr.,SG,22,MIL,52,538,9.0,.607,.447,.117,9.3,13.7,11.5,11.2,1.3,0.9,19.5,9.9,,0.6,0.4,1.0,.090,,-3.2,0.0,-3.2,-0.2
241,GG Jackson II,PF,19,MEM,44,1085,13.4,.562,.519,.292,4.7,14.6,9.4,8.0,1.0,1.8,10.1,23.3,,0.1,0.9,1.0,.045,,-0.5,-1.8,-2.3,-0.1
242,Isaiah Jackson,C,22,IND,58,753,21.3,.689,.017,.443,13.8,22.3,18.0,8.3,2.2,6.2,12.4,17.5,,2.0,1.1,3.1,.198,,0.1,1.5,1.6,0.7
243,Jaren Jackson Jr.,C,24,MEM,66,2124,17.4,.552,.315,.359,4.4,15.9,9.9,13.2,1.9,4.7,10.6,30.7,,-0.1,2.8,2.7,.061,,-0.1,0.4,0.4,1.3
244,Justin Jackson,SF,28,MIN,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.033,,-6.3,-1.1,-7.4,0.0
245,Quenton Jackson,PG,25,IND,1,2,6.1,,,,0.0,59.1,29.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.066,,-8.7,4.7,-4.0,0.0
246,Reggie Jackson,PG,33,DEN,78,1730,12.1,.527,.373,.130,2.2,8.0,5.2,23.4,1.2,0.6,11.8,21.9,,0.7,1.3,2.0,.055,,-1.6,-1.5,-3.0,-0.4
247,Trayce Jackson-Davis,PF,23,GSW,63,1013,21.8,.690,.003,.394,14.4,20.9,17.7,10.7,1.3,5.8,10.8,16.7,,2.9,1.3,4.2,.200,,1.7,1.3,2.9,1.3
248,LeBron James,PF,39,LAL,68,2390,23.3,.627,.291,.316,2.9,20.3,12.1,36.9,1.6,1.3,14.3,29.2,,5.0,2.7,7.7,.154,,5.4,0.9,6.3,5.0
249,Jaime Jaquez Jr.,SF,22,MIA,70,1996,12.7,.572,.289,.246,4.6,11.5,8.0,13.4,1.9,0.8,12.6,18.8,,0.9,2.5,3.4,.082,,-2.4,0.3,-2.1,0.0
